source,celltype,gene_id,gene_symbol,gene_symbol_canonical,log2_fold_change,bootstrap_ci_low,bootstrap_ci_high,stratified_permutation_p,n_SLE,n_HC,bootstraps,permutations,seed
generated,B cell,ENSG00000106785,TRIM14,TRIM14,0.7070916470352403,0.24122249105162,1.2296995727473643,0.021,30,12,1000,999,20260918
generated,B cell,ENSG00000121060,TRIM25,TRIM25,0.5595822359939104,0.0,1.1076511383478396,0.762,30,12,1000,999,20260918
generated,B cell,ENSG00000132256,TRIM5,TRIM5,0.0,0.0,0.0,1.0,30,12,1000,999,20260918
generated,B cell,ENSG00000182179,UBA7,UBA7,-0.21458792039619876,-0.7635980716607258,0.3897617826332036,0.502,30,12,1000,999,20260918
generated,B cell,ENSG00000184979,USP18,USP18,0.60810272485284,0.08723521787571417,1.1347854558267292,0.192,30,12,1000,999,20260918
generated,B cell,ENSG00000140105,WARS,WARS1,-0.027922134027667873,-0.6128840560714752,0.5671461811694581,0.941,30,12,1000,999,20260918
real,B cell,ENSG00000019582,CD74,CD74,0.017823725850514748,-0.15677184955446924,0.19550876961283856,0.877,30,12,1000,999,20260918
real,B cell,ENSG00000134326,CMPK2,CMPK2,2.877420218989492,2.13548705850856,3.5722449685076434,0.001,30,12,1000,999,20260918
real,B cell,ENSG00000137200,CMTR1,CMTR1,0.8257306103085177,0.42227316737999665,1.1869292873902926,0.003,30,12,1000,999,20260918
real,B cell,ENSG00000184371,CSF1,CSF1,0.7512648442151986,0.007354705072567587,1.5248755455649823,0.321,30,12,1000,999,20260918
real,B cell,ENSG00000169245,CXCL10,CXCL10,1.8556517909028727,0.9482867708111193,2.522699148222363,0.012,30,12,1000,999,20260918
real,B cell,ENSG00000169248,CXCL11,CXCL11,0.22812587693776465,0.0,0.45041531878259905,0.584,30,12,1000,999,20260918
real,B cell,ENSG00000137628,DDX60,DDX60,1.3399399105400993,0.8649261732686245,1.7817118826723817,0.002,30,12,1000,999,20260918
real,B cell,ENSG00000055332,EIF2AK2,EIF2AK2,1.4902347655141892,1.1305705429013766,1.8163766194662065,0.001,30,12,1000,999,20260918
real,B cell,ENSG00000133106,EPSTI1,EPSTI1,2.1870707038025112,1.623386430241641,2.7589715706418763,0.001,30,12,1000,999,20260918
real,B cell,ENSG00000112773,FAM46A,TENT5A,0.48496443528039296,0.15328181732858853,0.7754664608362927,0.045,30,12,1000,999,20260918
real,B cell,ENSG00000162645,GBP2,GBP2,0.34890425711516054,0.053378623000528924,0.6488073070864326,0.116,30,12,1000,999,20260918
real,B cell,ENSG00000162654,GBP4,GBP4,0.5224808350255276,0.2373844289745886,0.8012544665334929,0.02,30,12,1000,999,20260918
real,B cell,ENSG00000137198,GMPR,GMPR,2.571184066654504,1.764900172183733,3.276717599049936,0.001,30,12,1000,999,20260918
real,B cell,ENSG00000130589,HELZ2,HELZ2,1.248015056744121,0.8753966344163389,1.6302016137523658,0.001,30,12,1000,999,20260918
